epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2740.55,0.77963,0.42779,0.9707,0.71345,0.73428,0.71868,0.40555,1.54123,0.95035,1.56834,0.000247716,0.000247716,0.000247716
88,2771.5,0.76825,0.41561,0.96514,0.69216,0.77241,0.73401,0.41689,1.54346,0.93185,1.58179,0.000231213,0.000231213,0.000231213
89,2802.45,0.76149,0.42122,0.96481,0.72201,0.77607,0.73511,0.4232,1.53533,0.89683,1.55479,0.00021471,0.00021471,0.00021471
90,2834.83,0.74904,0.40693,0.95255,0.69341,0.77144,0.73633,0.4173,1.51858,0.92541,1.55185,0.000198206,0.000198206,0.000198206
91,2867.45,0.77629,0.36893,0.98545,0.76833,0.70251,0.74369,0.4218,1.5372,0.90224,1.54987,0.000181703,0.000181703,0.000181703
92,2898.36,0.7474,0.35555,0.98075,0.73183,0.75262,0.73813,0.42566,1.5383,0.89198,1.54618,0.0001652,0.0001652,0.0001652
93,2930.12,0.74489,0.34522,0.9623,0.73645,0.73653,0.74104,0.43601,1.51135,0.91468,1.54079,0.000148696,0.000148696,0.000148696
94,2960.89,0.72374,0.34363,0.96252,0.73443,0.72578,0.74141,0.42525,1.49655,0.93774,1.51705,0.000132193,0.000132193,0.000132193
95,2991.74,0.71481,0.3347,0.95447,0.75685,0.72587,0.74644,0.42339,1.49199,0.91564,1.52334,0.00011569,0.00011569,0.00011569
96,3022.5,0.70169,0.33134,0.94924,0.76522,0.71004,0.7444,0.43073,1.50096,0.92557,1.53555,9.91865e-05,9.91865e-05,9.91865e-05
97,3052.35,0.72206,0.34211,0.96094,0.75015,0.72924,0.74623,0.42881,1.5087,0.90719,1.54352,8.26832e-05,8.26832e-05,8.26832e-05
98,3082.32,0.7105,0.33245,0.96296,0.77435,0.71427,0.74153,0.42374,1.53172,0.92743,1.563,6.61799e-05,6.61799e-05,6.61799e-05
99,3112.58,0.70431,0.33289,0.96053,0.78717,0.71033,0.7399,0.4293,1.51537,0.93137,1.55254,4.96766e-05,4.96766e-05,4.96766e-05
100,3145.4,0.69337,0.32756,0.9546,0.76408,0.72727,0.73782,0.42527,1.53062,0.93766,1.57222,3.31733e-05,3.31733e-05,3.31733e-05
